.,Portuguese
EventRemoveExplore1_T6.button1,Continuar
EventPlacePerson1_T7.text,"Forçando seus olhos, você percebe que há apenas uma pessoa na cama.\n\nColoque um marcador de interação como indicado."
EventPlacePerson1_T7.button1,Continuar
TokenSleepingPerson_T7.button1,{action} Interagir.
TokenSleepingPerson_T7.text,Seus olhos não estão se acostumando a este nível de escuridão. Você é incapaz de identificar quem está sob os cobertores. Talvez você possa ver melhor se você chegar mais perto...
EventIdentifyPerson_T7.text,Você se aproxima e tenta inferir quem está dormindo ({observation}; 2).
EventIdentifyPerson_T7.button1,Passou!
EventIdentifyPerson_T7.button2,Falhou...
EventPersonIdentified_T7.text,"Você aperta os olhos para fazer um esforço e identificar a pessoa na cama. Depois de um tempo, você é capaz de ver Grace dormindo pesadamente. \n \nSubstituta o marcador de interação pelo marcador de pessoa de Grace Bechman."
EventPersonIdentified_T7.button1,Continuar
EventMythos2MinToMaj.text,"As luzes piscam. Você ouve ruídos que se parecem com alguém martelando algo, seguido por guinchos grotescos. Esses sons parecem vir de longe, mas você tem certeza que eles vêm de dentro da casa. Sofra 2 horrores (negados por {will} -1)."
TokenGraceBAsleep_T7.button1,Continuar
EventGraceAsleep_T7.button2,Deixar Grace Bechman dormir.
EventGraceAwaken_T7.button1,Passou
EventGraceAwaken_T7.button2,Falhou
EventTalkToGrace_T7.text,"Você se aproxima suavemente da cama para evitar assustá-la: "". <i> Ei, Grace me desculpe, mas eu preciso que você acorde. Temos que conversar sobre Richard ... </i>"" \n \nEla salta, assustada, e agarra seus braços em desespero, exclamando: ""<i> O que ele fez? Ele fez alguma coisa com a minha filha?</i>"""
EventTalkToGrace_T7.button1,Continuar
EventPersonNotIdentified_T7.text,"Você cuidadosamente caminha em direção à cama e, quando você está prestes a chegar mais perto, uma tábua solta solta produz um som alto debaixo de você. \n\n Richard Bechman se levanta de sua cadeira e olha para você em silêncio. Seus olhos estão vazios, é quase como ele estava escondido na escuridão da sala, esperando você chegar. \n \nColoque o marcador de pessoa Richard Bechman como indicado."
EventPersonNotIdentified_T7.button1,Continuar
EventGraceAwaken_T7.text,"Grace se levanta com pressa, com medo e confusa. \n\n Remova o marcador de interação e coloque Grace de Bechman em seu lugar como indicado. \n\n""<i> O que você está fazendo entrando escondido no meu quarto a esta hora da noite? </i> ""\n \nTente se explicar para Grace ({influence}; 3)."
TokenGraceBAwake_T7.button1,Continuar
EventExplainGraceB_T7.text,"Você se pergunta se deve mencionar o incidente com Richard, mas decide deixar para depois: \n \n ""<i>Acordei ao ouvir algo se quebrando e fiquei preocupado. Então, decidi ver se todos estavam bem. Também escutei um gemido baixinho, você não ouviu? </i> ""\n \nAparentemente, Grace acreditou em sua desculpa. Ela revela que recentemente  começou a beber bastante licor para ser capaz de pegar no sono. Ela começa a chorar, e pede-lhe: \n \n ""<i> Por favor, venha comigo para ver se a minha filha está bem. O quarto dela é o do lado </i>"" \n\n Richard Bechman fala com uma irritante calma: ""<i> Nah, é apenas o cão caçando os ratos que infestam esta casa </i>"" \n\n Depois disso, ele sai e os deixa sozinhos, entrando em uma outra porta perto de sua mesa. Remova Richard do tabuleiro."
EventExplainGraceB_T7.button1,Continuar
TokenExplore2_T6.button1,{action} Explorar
EventRemoveExplore2_T6.text,"Você abre o quarto das duas filhas dos Bechman. O mobiliário é delicadamente trabalhado e as paredes são cobertas com um papel de parede de linho fino. \nHá uma cama grande de princesa, intocada\n\n Coloque a peça de mapa {c: TileDaughtersBedroom} e remova este marcador de Exploração."
EventRemoveExplore2_T6.button1,Continuar
EventPlaceTokens_T8.button1,Continuar
EventPlaceTokens_T8.text,Coloque uma porta tal como indicado.
EventPlaceSearch2_T8.text,"Há um volume debaixo da cama, mas você não consegue ter certeza do que é a partir dessa distância.\n\nColque um marcador de Busca como indicado."
EventPlaceSearch2_T8.button1,Continuar
EventPlaceSearch1_T8.text,"Uma penteadeira de menina, com várias anotações e desenhos coloridos. Eles devem pertencer a Mildred. \n\n Coloque um marcador de Busca como indicado."
EventPlaceSearch1_T8.button1,Continuar
EventPlaceWall_T8.text,"Coloque uma parede, como indicado.\n\n Mildred não está aqui. Investigue para descobrir alguma pista sobre seu paradeiro. \n \nVocê agora pode se mover 1 espaço para a peça de mapa revelada."
EventPlaceWall_T8.button1,Continuar
TokenSearch1_T8.text,"Um envelope com ""De: Gwen Para: Mildred"" escrito do lado de fora. Há uma carta dobrada dentro."
TokenSearch1_T8.button1,{action} Investigar
EventRemoveSearch1_T8.button1,Continuar
EventRemoveSearch1_T8.text,"Olhando para as anotações, você encontra um cartão postal da irmã de Mildred, Gwendolyn: \n \n ""<i> Amada irmã,\nÉ a minha primeira viagem de campo com meu orientador na Universidade Miskatonik. Viemos investigar o papel dos artefatos nas religiões das culturas antigas. Tenho um pequeno presente para você, mas por favor não mostre para a nossa mãe ou ela vai fazer perguntas sem parar. Veja, é da sua cor favorita, verde esmeralda. Uma bela obra de arte, assim como você. < 3 \n \nSinto saudades, sua meio-capeta! \n \n-- Gwen </i> ""\n\nTalvez este artefato esteja por trás dos estranhos acontecimentos que afetam a casa e a família Bechman. Grace tem motivos reais para estar tão preocupada com sua filha.\n\n Ganhe 2 pistas {clue} e remova este marcador de Busca."
TokenSearch2_T8.button1,{action} Investigar
EventRemoveSearch2_T8.button1,Continuar
TokenDog_T8.text,<i> rrrrrrrr </i>! O cão começa a rosnar baixinho paravocê. \n \nEle está determinado a proteger a caixa. Talvez você possa convencer o cão ...
TokenDog_T8.button1,{action} Tente acalmar Pazuzu
EventDogInteraction_T8.text,"Você coloca a mão no bolso para alcançar algo que, eventualmente, ajude na criação de um laço entre você e Pazuzu. Só assim você vai ser capaz de pegar a caixa. Você encontra um biscoito e se aproxima lentamente de Pazuzu, mostrando o doce para ele ({influence}; 3)."
EventDogInteraction_T8.button1,Passou
EventDogInteraction_T8.button2,Falhou
EventDogFriend_T8.text,"O cão come seu prêmio com prazer. Você percebe que há uma chave de bronze pendurada em sua coleira. Você pode pegar a chave, Pazuzu não vai avançar agora. \n\n Mova o cão para o lado da cômoda como indicado e receba o item especial {c:QItemSmallKey_T8}."
EventDogFriend_T8.button1,Continuar
TokenDog2_T8.text,O cão está ofegante e olhando para você com contentamento.
TokenDog2_T8.button1,Continuar
EventDogEnemy_T8.button1,Continuar
EventDogEnemy_T8.text,"O cão ignora seu biscoitinho e avança sobre seu corpo, tentando te morder.\n\n Sofra 2 danos voltados para baixo e 1 horror voltado para baixo (negados por {agility}). \n \n De repente, o cão começa a se contorcer dolorosamente. Você ouve um barulho de ossos estalando. A criatura arrepia, rosna e perde toda a sua pele. Pazuzu está crescendo em tamanho, transformando-se em algo maligno."
TokenPuzzleBox_T8.text,Uma pequena caixa presa por uma fechadura trancada.
TokenPuzzleBox_T8.button1,Continuar
EventPuzzleBox_T8.text,A tranca tem um segredo simples. Você pode tentar resolvê-la usando o seu {lore}.
EventPuzzleBox_T8.button1,Resolvê-lo!
EventRemoveCouple_T7.button1,Continuar
EventMissingMildred_T8.text,Você correr para o quarto e se depara com uma visão perturbadora ... \n\n Coloque um marcador de Busca como indicado.
EventMissingMildred_T8.button1,Continuar
EventRoomUnexplored_T8.button1,Continuar
EventRemoveSearch3_T8.text,"O que nos céus poderia ter acontecido aqui? Você observa arranhões nas paredes como se um animal selvagem tivesse passado pelo quarto. \n \n Você começa a encarar a verdade dolorosa --- uma força do mal está tentando corromper esta família. Ganhe 2 pistas {clue} \n n Remova este marcador de Busca, receba o item {c:QItemEvidencia3_T8} e sofra 3 horrores (negados por {will})."
TokenSearch3_T8.button1,{action} Investigar
TokenSearch3_T8.text,"O quarto está completamente revirado: a cama e móveis estão destruídos, os lençóis, roupas e cortinas rasgados em pedaços. Momentos atrás, você se lembra de ter deixado este mesmo quarto em perfeito estado. Você pode olhar nos escombros para procurar algo útil que o ajude a compreender a situação atual."
EventRemoveSearch3_T8.button1,Continuar
TokenGraceBFainted_T8.button1,Continuar
TokenGraceBFainted_T8.text,"Você pode ouvir Grace balbuciar: \n \n ""<i> A minha filha ... Meu marido ... Meu Deus, por favor, leve este fardo para longe de mim ... </i>"" \n\n Ela encara o teto, imóvel.\n\n""<i> Salvar minha família. Só você pode me ajudar! </i>"", diz ela, como um sussurro."
TokenGraceB_T6.text,"""<i> Por favor, olhe lá dentro. Eu estou com muito medo de fazer isso </i>"", Grace soluça. \n \n <i> O que eu fiz a Deus para ser punida assim? </i>"""
TokenGraceB_T6.button1,Continuar
EventGraceB_T8.button1,Continuar
EventBadEnding1.text,"Grace começa a tremer incontrolavelmente. \n \nEla pede-lhe com uma voz trêmula: \n \n ""<i> O que isso significa? Você é algum tipo de pervertido?</i>"" \n nEla corre para fora do quarto, te derrubando no chão. \n \n ""<i> Richard! Eu vou chamar a polícia! </i>"" \n \nSofra 1 dano e mova a pessoa de Grace Bechman como indicado."
EventBadEnding1.button1,Continuar
TokenGraceBAwake_T7.text,"<i> Por que você está entrando furtivamente no meu quarto, a esta hora da noite? </i>"
EventBadEnding1_1.text,"Quando você está apenas tentando se levantar novamente, Richard Bechman vêm em sua direção com muita raiva.\n\n Remova Richard do tabuleiro e coloque um maníaco no mesmo espaço do investigador na peça de mapa {c:TileMasterBedroom}."
EventBadEnding1_1.button1,Continuar
TokenGraceRunning_T6.text,Grace corre como se sua vida dependesse disso. Ela vai tentar alcançar o telefone no hall de entrada e chamar a polícia.
TokenGraceRunning_T6.button1,Continuar
SpawnRichardManiac_T7.button1,Continuar
SpawnRichardManiac_T7.text,"""<i> Eu sabia. Você é o rato! Fazendo ruídos, se esgueirando pela casa. Eu vou matar você, sua criatura maldita! </i>"""
EventBadEnding1_2.text,Você tem <b> duas rodadas </ b> para escapar de Richard e evitar que Grace chame a polícia. \n \nO telefone está sobre a mesa do hall. Coloque um marcador de interação como indicado.
EventBadEnding1_2.button1,Continuar
TokenTelephone_T2.text,Um telefone que você não percebeu antes.
TokenTelephone_T2.button1,{action} Interagir
EventBadEndingCutPhone_T2.text,Você alcança o telefone antes de Grace. A única coisa que você pode pensar agora é em puxar os cabos para fora da parede usando sua força ({strength}).
EventBadEndingCutPhone_T2.button1,Continuar
SpawnGraceWitchBadEnding_T2.text,"Grace chega rapidamente por trás e tenta agarrá-lo. Ela está falando em uma língua estranha e agindo como se estivesse possuída. Você precisa detê-la, ou ela vai matá-lo.\n\n Remova Grace do tabuleiro e coloque uma bruxa como indicado."
SpawnGraceWitchBadEnding_T2.button1,Continuar
TokenSearch_T2.button1,{action} Investigar
EventCutWires_PASS_T2.text,Você rasgou os cabos de uma forma que o telefone não é mais comunicável.\n\nRemova esse marcador de interação e ganhe a condição de compenetrado.
EventCutWires_PASS_T2.button1,Continuar
EventCutWires_FAILED_T2.button1,Continuar
EventCutWires_FAILED_T2.text,Você sente o desespero de ser mal interpretado e se arrepende pelas coisas chegarem a este ponto. Sofra um horror voltado para baixo.
EventSolvePuzzleBox_T8.button1,Continuar
PuzzleBox_T8.button1,Continuar
EventSolvePuzzleBox_T8.text,Há um objeto embrulhado num tecido áspero. É uma espécie de ídolo...\n\nReceba o item {c:QItemStatue_T8} e remova este marcador de Busca.
EventSpawnPazuzu_T3.text,"Pazuzu atravessa a porta e desaparece, quase esbarrando em você antes de sair. \n\n Remova o cão do tabuleiro."
EventSpawnPazuzu_T3.button1,Continuar
SpawnPazuzu_T3.text,"Você ouve um uivo distante e um som de ossos quebrando.\n\n Coloque um Cão de Tindalos como indicado. Este foi Pazuzu, mas agora ele é possuído por uma entidade do mal."
SpawnPazuzu_T3.button1,Continuar
TokenExplore2_T2.text,"Esta porta está trancada, mas ruídos podem ser ouvidos de trás dela. Seriam os ratos dos quais Richard fica falando?"
TokenSight1_T5.text,Os ruídos que você tem ouvido são oriundos do andar de cima. É um cântico. A luz escapa da porta entreaberta e pisca de vez em quando ...
EventForceDoor_PASSED_T2.text,As dobradiças estão um pouco soltas. Você atinge com os seus ombros e a porta abre com um pequeno barulho de quebra.\n\nSofra 1 de dano voltado para baixo e retire este marcador de Exploração.
TokenSight1_T5.button1,Revelar
EventPlaceTokens_NOKEY_T5.text,"Na parte superior das escadas, há uma porta luz saindo de suas frestas.\n\nColoque um marcador de Avistamento como indicado.\n\nO investigador no topo da escada pode revelar a peça de mapa adjacente."
EventPlaceTokens_NOKEY_T5.button1,Continuar
EventRemoveSight_T5.text,O cântico é contínuo. É hipnotizante. Você sente como se pudesse ouvi-lo para sempre ...\n\nRemova este marcador de avistamento e coloque a peça de mapa {c:TileAttic} como indicado.
EventRemoveSight_T5.button1,Continuar
EventForceDoor_FAILED_T2.text,"Você não bateu forte o suficiente. A porta ainda está fechada, mas agora você está machucado.\n\nSofra 1 dano."
EventForceDoor_FAILED_T2.button1,Continuar
EventPlaceSearch1_T5.text,Os degraus estão salpicados com algo que você não consegue identificar desta distância. \n\n Coloque um marcador de Busca como indicado.\n\n Você pode se mover um espaço para a peça de mapa revelada.
EventPlaceSearch1_T5.button1,Continuar
TokenInteractRitual_T9.text,Restos de um ritual para invocar um demônio antigo.
TokenInteractRitual_T9.button1,{action} Parar a convocação do demônio
EventStopRitual_T9.button1,Continuar
EventStopRitual_T9.text,"Você apaga as velas e as quebra, pisoteia os restos dos animais mortos e joga algumas gotas de água benta sobre o pentagrama. Um assobio é ouvido, seguido de um grito grave e diabólico que ecoa por toda a casa. Você interrompeu o ritual de invocação. O diabo não terá sucesso desta vez.\n\nRemova o marcador de interação."
EventStopRitual_FAIL_T9.text,"Você tenta quebrar o ritual, mas todos os seus esforços parecem em vão. Talvez você deva fortalecer sua fé e tentar com mais esmero..."
EventStopRitual_FAIL_T9.button1,Continuar
SpawnPossessedMildred_T9.text,Mildred ouviu você chegando e escondeu-se atrás das caixas. Ela pula em cima de você gritando em várias línguas diferentes ao mesmo tempo. Ela está possuída por um demônio. Você vai precisar exorcizá-la.\n\nSofra 2 horrores (negados por {will}-1).
SpawnPossessedMildred_T9.button1,Continuar
TokenFallenMildred_T9.button1,Continuar
EventDevilIn_T9.text,"Mildred está levitando, olhando profundamente através de você."
EventMildredExorcism_T9.text,"Você procurar as palavras certas, tentando lembrar o Ritual Romano você já leu a respeito anos atrás ({lore}, 2).\n\nSe passar, você pode prosseguir os ritos; Se falhar, sofra um horror voltado para baixo e 1 dano (negados por {observation}).\n\n Você deve testar a sua {will} para realizar o exorcismo.\n\nO investigador que realizar o exorcismo pode descartar qualquer carta de Evidência para converter um dado de {clue} em um {success}."
EventMildredExorcism_T9.button1,Continuar
EventExorcism_SUCCESS_T9.button1,Continuar
EventExorcism_FAILED1_T9.button1,Continuar
EventExorcism_SUCCESS_T9.text,"Mildred pára de gritar e de flutua de volta para o chão. Seus olhos voltaram a ser verdes. Ela olha em volta, confusa. \n \n ""<i> Mamãe? </i>"", ela sussurra. ""<i> O que estou fazendo aqui? </i>"" \n \nMildred não está mais possuída. \nO exorcismo terminou."
EventExorcism_FAILED2_T9.button1,Continuar
EventMildredPossessedDefeated.text,"Mildred cai. Ela está em choque. Seu corpo está cheio de cortes, seu olhar em direção ao nada. Você deve ajudá-la antes que seja tarde demais."
EventMildredPossessedDefeated.button1,Continuar
EventPlaceInteract_T9.button1,Continuar
EventRemoveExplore2_KEY_T2.text,Você ouve um clique. A porta está aberta.\n\nRemova este marcador de explorar.
EventRemoveExplore2_KEY_T2.button1,Continuar
EventKeyFound_T2.button2,Cancelar
EventKeyNotFound_T2.button2,Cancelar
TokenCompletedRitual_T9.text,Você identifica os restos de um ritual de invocação de um demônio.
TokenCompletedRitual_T9.button1,{action} Investigar
EventRemoveSearch2_T9.text,Você pega tudo o que você pode do ritual concluído para investigar mais tarde.\n\n Receba o item {c:QItemRitualComp_T9} e remova este marcador de Busca.
EventRemoveSearch2_T9.button1,Continuar
EventPlaceDevil_T9.button1,Continuar
SpawnDevil_T9.text,"A presença demoníaca te encara tão profundamente que você imagina se ela pode ver através da sua alma. \n \n ""<i> DEIXE MINHA FILHA EM PAZ! </i>"", sussurra dentro de sua cabeça. ""<i> Não há nada que você possa fazer agora. ELA JÁ É MINHA. </i>"" \n \n Você escuta uma risada diabólica.\n\n Faça surgir um Noctérico como indicado."
SpawnDevil_T9.button1,Continuar
EventMildredIsFallen.text,O demônio se volta para o corpo deitado de Mildred e entra dentro dela. Ela agora está possuída.
EventDevilDefeated_T9.button1,Button1
EventDevilOut_T9.text,Mildred está desmaiada. Expulse o diabo desta casa.
EventDevilOut_T9.button1,Continuar
EventDevilIn_T9.button1,{action} Exorcize-a!
EventPlaceGrace_T9.text,Grace chega e fica sem palavras quando confrontada com sua filha possuída.\n\n Coloque Grace como indicado.
EventPlaceGrace_T9.button1,Continuar
TokenGraceB_T9.button1,Continuar
TokenGraceB_T9.text,"""<i> Jesus amado... </i>"", ela murmura.\n Grace está em um estado catatônico."
EventGraceOutside_T6.text,"Grace lhe pergunta:\n\n ""<i> Onde está a minha filha?""</i>\n\nEla entra na sala, estupefata."
EventGraceOutside_T6.button1,Continuar
EventDogDefeated.text,"A criatura cai, se sacudingo por alguns momentos. Ela lentamente se transforma de volta para Pazuzu e, em seguida, derrete no chão em uma gosma verde, liberando um cheiro fétido. Não sobrou nada do cão de Mildred ..."
EventDogDefeated.button1,Continuar
EventWitchDefeated.text,"Grace cai morta no chão. Você já matou seu marido e o cão, sua filha está desaparecida. O que você vai fazer? Como explicar esses eventos para a polícia?\n As xoisas realmente saíram do controle.\n\n Você vai para o porão, desolado. Você encontra uma caixa com uma corda em seu interior corda.\n\n De volta à cozinha, você amarra a corda ao redor da viga do teto, sobe em uma banqueta, passa o laço da corda em torno de seu pescoço, e chutar o banco para longe.\n\n Um instante antes de seu pescoço quebrar, o último som que você ouve é o de um riso diabólico... \n\nVocê PERDEU este cenário."
EventWitchDefeated.button1,Continuar
EventNoDevil_T9.button1,{action} Exorcize-a!
EventAlternateEnding_T9.text,"Grace se recupera do choque e se aproxima de Mildred. Ela abraça a garota, tentando acalmá-la. Olhando para você, Grace diz, determinada: \n \n ""<i> Não medirei esforços para descobrir quem --- ou o que --- está por trás disso Conto com você para me ajudar </i>."". \n\nSuando frio, você prometer ajudar a resolver o caso. Para fazer isso, você terá que encontrar um velho amigo seu. Este amigo era um padre, mas foi expurgado da igreja depois de revelar algum segredo obscuro que ninguém deveria saber. Agora, é hora de chamar uma ambulância para cuidar de Mildred ..."
EventNoDevil_T9.text,"Mildred parece quase inconsciente, com o rosto voltado para o chão. De repente, seu pescoço gira em um ângulo impossível para que ela possa olhar para você. Seus olhos estão bem abertos, ambos completamente brancos."
EventAlternateEnding_T9.button1,EPÍLOGO
EventRichard_T9.text,"Richard aparece de repente a partir de outras escadas de acesso ao sótão. Ele está agitado. Olhando para a confusão atual com um semblante sério Richard exclama: \n \n ""<i> Procurei pelos ratos a noite toda. O barulho certamente vem daqui. Você viu alguma coisa?</i>"" \n\nVocê GANHOU! \n (Este foi o final bom, há outros ...)"
EventRichard_T9.button1,Continuar
EventEnding_T9.text,"Você se sente estafado, o coração batendo tão alto que quase pode ser ouvido de fora do seu peito. \n \nMildred está bem surrada. Ela tenta falar, mas não há som. Grace se abaixa perto de Mildred e a abraça: \n\n "". <i> Xiu, acalme-se filhinha,  mamãe está aqui... \n Nada de ruim vai acontecer mais </i>"" \n\n Você precisa chamar uma ambulância para Mildred rapidamente. Grace agradece. Você promete que vai investigar o ritual e o que está por trás dos eventos desta noite. Talvez você poderia tentar achar um velho amigo, o ex-padre expurgado da igreja por estudar demais o oculto... \n\nEstranhamente, Richard se foi."
EventEnding_T9.button1,EPÍLOGO
EventRichardGone_T9.text,"Embora você tenha tentdo o seu melhor, este foi o seu primeiro exorcismo.\n\n A ambulância chega e leva Mildred para o hospital. A mãe vai junto, segurando suas mãos pequenas. Antes da ambulância partir, Grace lhe pede um favor: \n \n ""<i> Você poderia por favor dar uma olhada se Richard está bem? Ele geralmente perde a noção do tempo quando lida com seus próprios demônios... </i>"" \n\n Você então encontra Richard desmaiado e nu no porão, segurando um machado, todo coberto de sujeira e sangue. ""<i> Este homem tem uma necessidade urgente de ajuda profissional </i>"", você pensa em voz alta. Você ajuda Richard a se levantar e a se limpar, mas agora ele parece mais lúcido. Ele lhe pergunta, confuso, sobre sua própria situação: \n\n""<i>O que estou fazendo aqui? Onde estão minha esposa e filha?</i>""\n\n Você explica os acontecimentos, mas Richard afirma não se lembrar de nada. Os dias passam lentamente. Richard está se comportando como seu eu normal. Mildred ainda está no hospital. Grace passa o dia todo com ela.\n\nVocê organiza um grupo de oração na comunidade para a recuperação de Mildred. Padre Mateo está muito preocupado. Ele, que não acreditava em demônios senão como metáforas, agora está tendo problemas para lidar com o que viu na casa dos Bechman.\n\nApós uma semana de tratamento intensivo, lhe informaram que Mildred não sobreviveu aos ferimentos. Grace, em desespero, lhe procura para dizer as últimas palavras Mildred: <i> Antes de morrer, ela pegou minha mão com força, me puxou para perto de sua boca e sussurrou bem baixinho, com uma voz satânica --- ""Diga ao padre que isto está longe de terminar. ""</i> \n \nVocê GANHOU! \n (Este é um final ruim, há outro melhor ...)"
EventRichardGone_T9.button1,Continuar
EventInitialTile.text,"Coloque a peça de mapa {c:TileEntry}.\n\nOs Bechmans convidaram para jantar em sua casa no bairro French Hill, perto da igreja. Eles são uma família muito religiosa, e sentem a necessidade de se reunir com o novo sacerdote. \n\nGrace Bechman está muito bem vestida para a ocasião. Ela recebe os convidados com um sorriso alegre. Ela está usando um colar de pérolas e um vestido branco muito bem cortado com detalhes em azul claro e dourado. Seus sapatos são brilhantes, brancos e de salto alto, combinando perfeitamente com as roupas e jóias.\n\nRichard, seu marido, parece muito mais velho do que Grace. Ele é muito calmo e exibe um sorriso discreto. Richard veste uma camisa branca de seda e um par de calças sociais cinzas. Ele já está sentado à mesa de jantar, mas seu olhar é distante.\n\nGrace vai para a cozinha e traz uma salada César, frango assado, e uma travessa de ervilhas frescas. \n \n <i> Meu Deus, o aroma é divino! </i>, você exclama antes de se sentar à mesa."
UIContinue.uitext,Continuar
EventRemoveBoard.button1,Continua...
EventRemoveBoard.text,Fim da Parte 1
EventDoor2_UNLOCKED_T1.button2,Cancelar
TokenExplore1_T1.button2,Cancelar
EventTalkToGraceAtKitchen1_T1.button1,{action} Você está bem?
EventTalkToGraceAtKitchen1_USED_T1.text,"Grace começa a chorar, compulsivamente: \n \n ""<i> Estou longe de estar tudo bem... Sinto muito por esta noite, de verdade. Não é fácil lidar com Richard desde seu aneurisma. Ou ele grita para sua própria sombras na parede, como se elas o perseguissem, ou ele fica olhando para o nada com cara de aterrorizado... </i> ""\n\n Você tenta acalmá-la, dizendo que talvez seja apenas um efeito temporário do aneurisma e que ele pode se recuperar em um futuro próximo. Em seguida, ela acrescenta: \n \n ""<i> Há também a casa e seus ruídos durante a noite, quase como se ela está tentando dizer que somos indesejados aqui ... Eu sei o que parece, mas não sou louca. Você poderia por favor, ficar esta noite aqui conosco? Estou com muito medo! </i>""\n\nVocê decide passar a noite na casa para ver se algo estranho acontece, e também para apoiar sua amiga desesperada. \n \nGanhe 1 pista {clue}."
EventTalkToGraceAtKitchen1_USED_T1.button1,Continuar
EventTalkToGraceAtKitchen1_NoOptions_T1.text,Grace está se sentindo melhor agora. Ela vai terminar a organização das louças e ir dormir.
EventTalkToGraceAtKitchen1_NoOptions_T1.button1,Continuar
EventTalkToGraceAtKitchen1_T1.button2,Cancelar
EventGraceAsleep_T7.text,Você acha que seria estranho acordá-la no meio da noite.
EventGraceAsleep_T7.button1,{action} Acorde Grace Bechman de qualquer maneira!
EventMythos1.button1,Continuar
EventMythos3Major.text,"Uma tempestade está se aproximando. Você vê um relâmpago através da janela. O raio atinge uma grande árvore velha no quintal, fazendo-a pegar fogo. O crepitar te pega de surpresa, fazendo com que você perca o equilíbrio momentaneamente. Sofra um dano e um horror (negados por {agility}).\n\nUm cântico estranho pode ser ouvido no andar de cima, bem como barulho de faíscas."
EventMythos5Deadly.button1,Continuar
EventStairsAndAtticNotPlaced.button1,Continuar
TokenExplore2_T5.button1,{action} Explorar
EventStairsAndAtticNotPlaced.text,Um ritual demoníaco acaba de ser concluído no sótão. Você deve agir agora para barrar o que quer que tenha sido invocado por lá.\n\nColoque a peça de mapa {C:TileUpstairs} e um marcador de Exploração como indicado.
TokenExplore2_T5.text,"A porta está quase solta de suas dobradiças, como se uma força inimaginável a tenha forçado."
EventMythosR20.button1,Continuar
UITextEnd.uitext,"Infelizmente, todos os seus esforços foram em vão. Você sucumbiu às forças do mal, e agora o diabo está entre nós. Talvez um outro alguém possa lutar contra isso, mas você certamente não vai estar lá para ver se isso acontece...\n\nFim?"
EventLose.button1,Continuar
UIContinueEnd.uitext,<Clique para terminar...>
SpawnGoatGirl.text,Uma súcubo aparece. Ela está guardando a porta do sótão.\n\n Coloque uma Cria da Cabra como indicado.
SpawnGoatGirl.button1,Continuar
UIContinue.button1,Continuar
EventMythosR20.text,Sua investigação levou muito tempo e você não derrotou o inimigo. Tudo está acabado...
EventExorcizeAccum_T9.button1,Button1
EventDoor1_UNLOCKED_T1.button2,Cancelar
EventPlaceSearch1_T7.text,Há um objeto encostado na parede.
EventPlaceSearch1_T7.button1,Continuar
TokenSearch1_T7.text,A forma do objeto é alongado. Seria um bastão?
TokenSearch1_T7.button1,{action} Investigar
EventRemoveSearch1_T7.text,"Você toca o objeto, que está gosmento. Ao olhar mais de perto, você percebe que é o machado de Richard, e está coberto de sangue.\n\nSofra 1 horror voltado para baixo  (negado por {will}) \n\n Receba o item {C:QItemAxe_T7} e remova este marcador de Busca."
EventRemoveSearch1_T7.button1,Continuar
EventPlaceSearch1b_T8.text,Você percebe um papel amassado embaixo da penteadeira.\n\nColoque um marcador de Busca como indicado.
EventPlaceSearch1b_T8.button1,Continuar
EventDogLeaves_T8.text,"Pazuzu, o cão de Mildred, corre para fora da sala carregando uma caixa de metal com a boca. Foi possível ver o medo em seus olhos."
EventDogLeaves_T8.button1,Continuar
EventRitualStopped.button1,Continuar
EventRitualOngoing.text,"Você derrama uma garrafa de água benta, depois de pisotear e chutar os restos do ritual demoníaco. Uma fumaça fétida enche o ar e desaparece."
EventRitualOngoing.button1,Continuar
EventMythos3Major.button1,Continuar
EventMythos2MinToMaj.button1,Continuar
EventMildredIsFallen.button1,Continuar
EventMildredNotFallen_T9.text,O demônio ri diabolicamente e desaparece em uma nuvem de fumaça vermelha e fétida ...
EventMildredNotFallen_T9.button1,Continuar
TokenExplore2_T2b.text,"Esta porta está trancada, mas ruídos podem ser ouvidos por detrás dela. Seriam os ratos que Richard tanto fica falando?"
TokenExplore2_T2b.button1,{action} Continuar
EventNoDevil_T9.button2,Cancelar
EventDevilIn_T9.button2,Cancelar
EventRitual_T9.text,Quebrar o ritual com {lore}. Um jogador que possuir o item Água Benta pode adicionar um dado extra para qualquer teste com a intenção de parar a invocação .
EventRitual_T9.button1,Continuar
UIContinueEnd.button1,Fim?
EventExorcism_FAILED1_T9.text,"Você profere as palavras do rito em direção à entidade que agora habita Mildred:\n\n ""<i> Em nome de Jesus, solte esta alma </i>!""\n\nEla cospe uma gosma verde em seu rosto.\n\nO exorcismo deve prosseguir."
EventExorcism_FAILED3_T9.text,"""<i> Pelo poder de Deus, lance no inferno Satanás e a todos os espíritos malignos que vivem neste corpo profanado! </i>"", você implora, jogando gotas de água benta em Mildred.\n\nEla grita como um animal, se irrita e te xinga. \n \nO exorcismo deve prosseguir."
EventExorcism_FAILED2_T9.text,"""<i> Arcanjo Michael, salvai a alma desta criança </i>"", você clama, agarrando sua cruz e apontando para Mildred.\n\nEla jorra para fora de sua boca um vômito podre composto por pequenos animais. Você está enojado, mas precisa continuar com o rito sagrado. \n \nO exorcismo deve prosseguir."
EventExorcism_FAILED3_T9.button1,Continuar
